ID	Record Type	Order	Family	Subfamily	Insect Species	Symbiont Phylum	Symbiont Order	Symbiont Genus	Symbiont Rank	Symbiont Taxon	Symbiont Name	Classification	Localization	Transmission mode	Function	Function Tag	Related Data	Genome ID	Reference	doi	Journal	Year	Note	Country	Collect Location
RISB0001	Symbiont	Coleoptera	Chrysomelidae	Chrysomelinae	Leptinotarsa decemlineata	Pseudomonadota	Enterobacterales	Proteus	Genus	Proteus	Proteus vulgaris Ld01	Bacteria	Extracellular	Vertical	Proteus vulgaris Ld01 produces toxic hydrogen cyanide (HCN) and a mandelonitrile-producing cyanoglucoside, amygdalin, which shield the insect from predation.	natural enemy resistance,toxin production	GCA_023100685.1	GISB0429	Mandelonitrile produced by commensal bacteria protects the Colorado potato beetle against predation	10.1038/s41467-024-54439-z	Nature Communications	2024	None	China	Urumqi (43.71 N, 87.39 E)
RISB0002	Symbiont	Coleoptera	Coccinellidae	Coccinellinae	Harmonia axyridis	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia harmoniae	Bacteria	Extracellular	Mixed-mode	the harlequin ladybird (Harmonia axyridis) safely harbors Serratia harmoniae, a highly pathogenic bacterium that causes severe mortality in other ladybird species, which confers an intraguild predation advantage to the harlequin ladybird	natural enemy resistance	GCA_044594185.1	None	The interaction of Serratia bacteria and harmonine in harlequin ladybird confers an interspecies competitive edge	10.1073/pnas.2417873121	The Proceedings of the National Academy of Sciences	2024	None	China	Zhejiang Province
RISB0003	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera frugiperda	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus spp.	Bacteria	Extracellular	None	Enterococcus spp. may play a protective role against insect pathogens.	pathogen resistance	None	None	Antibiotics ingestion altered the composition of gut microbes and affected the development and reproduction of the fall armyworm	10.1007/s10340-024-01759-0	JOURNAL OF PEST SCIENCE	2024	None	China	Dongchuan town in Yunnan Province
RISB0004	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera frugiperda	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella spp.	Bacteria	Extracellular	None	Klebsiella spp. may have positive effects on insect fecundity.	fertility	None	None	Antibiotics ingestion altered the composition of gut microbes and affected the development and reproduction of the fall armyworm	10.1007/s10340-024-01759-0	JOURNAL OF PEST SCIENCE	2024	None	China	Dongchuan town in Yunnan Province
RISB0005	Amplicon	Lepidoptera	Gelechiidae	Gelechiinae	Tuta absoluta	None	None	None	None	None	Microbiome	Bacteria	Extracellular	None	None	None	SRX22236810-SRX22236849	None	Bacterial biota associated with the invasive insect pest Tuta absoluta (Meyrick)	10.1038/s41598-024-58753-w	SCIENTIFIC REPORTS	2024	None	Nigeria	six different locations within two agroecological zones in Nigeria: North Central and North West
RISB0006	Symbiont	Hemiptera	Aphididae	Aphidinae	Sitobion miscanthi	Pseudomonadota	Rickettsiales	None	Genus	Sitobion	Sitobion miscanthi L-type symbiont (SMLS)	Bacteria	Intracellular	None	Sitobion miscanthi L-type symbiont (SMLS) mediates host antiviral defenses to inhibit the propagation of Sitobion miscanthi densovirus (SmDV).	antiviral activity	None	None	Bacterial Symbiont Mediates Aphid Antiviral Systems to Inhibit the Propagation of a New Pathogenic Densovirus in Chinese Wheat Aphid, Sitobion miscanthi	10.1021/acs.jafc.4c02642	Journal of Agricultural and Food Chemistry	2024	None	China	Yuanyang (YY-strain) and Luoyang (LY-strain) wheat fields
RISB0007	Symbiont	Diptera	Calliphoridae	Chrysomyinae	Phormia regina	Bacillota	Bacillales	Exiguobacterium	Genus	Exiguobacterium	Exiguobacterium sp.	Bacteria	Extracellular	None	Exiguobacterium sp. produces semiochemicals that prompt oviposition by the stable fly (Stomoxys calcitrans), potentially serving as a fly lure.	semiochemical biosynthesis,fertility	None	None	Black blow fly (Diptera: Calliphoridae) bacterial symbionts inform oviposition site selection by stable flies (Diptera: Muscidae)	10.1093/jisesa/ieae040	JOURNAL OF INSECT SCIENCE	2024	None	Canada	Departmentof Biological Sciences, SimonFraser University, Burnaby, BC V5A 1S6,Canada
RISB0008	Symbiont	Diptera	Calliphoridae	Chrysomyinae	Phormia regina	Pseudomonadota	Enterobacterales	Morganella	Genus	Morganella	Morganella morganii	Bacteria	Extracellular	None	Morganella morganii produces semiochemicals that deter oviposition by the stable fly (Stomoxys calcitrans), potentially helping the stable fly avoid competition.	semiochemical biosynthesis,fertility	None	None	Black blow fly (Diptera: Calliphoridae) bacterial symbionts inform oviposition site selection by stable flies (Diptera: Muscidae)	10.1093/jisesa/ieae040	JOURNAL OF INSECT SCIENCE	2024	None	Canada	Departmentof Biological Sciences, SimonFraser University, Burnaby, BC V5A 1S6,Canada
RISB0009	Symbiont	Diptera	Calliphoridae	Chrysomyinae	Phormia regina	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia marcescens	Bacteria	Extracellular	None	Serratia marcescens produces semiochemicals that prompt oviposition by the stable fly (Stomoxys calcitrans), potentially serving as a fly lure.	semiochemical biosynthesis,fertility	None	None	Black blow fly (Diptera: Calliphoridae) bacterial symbionts inform oviposition site selection by stable flies (Diptera: Muscidae)	10.1093/jisesa/ieae040	JOURNAL OF INSECT SCIENCE	2024	None	Canada	Departmentof Biological Sciences, SimonFraser University, Burnaby, BC V5A 1S6,Canada
RISB0010	Symbiont	Hemiptera	Delphacidae	Delphacinae	Sogatella furcifera	Bacteroidota	Cytophagales	Candidatus Cardinium	Genus	Candidatus Cardinium	Cardinium	Bacteria	Intracellular	None	Candidatus Cardinium infection significantly decreases the diversity of the host's microbial community.	other	None	None	Both symbionts and environmental factors contribute to shape the microbiota in a pest insect, Sogatella furcifera	10.3389/fmicb.2023.1336345	FRONTIERS IN MICROBIOLOGY	2024	None	China, Thailand,  Myanmar,  Cambodia,  Vietnam, Laos	China, Thailand, Myanmar, Cambodia, Vietnam, and Laos
RISB0011	Symbiont	Hemiptera	Delphacidae	Delphacinae	Sogatella furcifera	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Intracellular	None	Wolbachia infection significantly decreases the diversity of the host's microbial community.	other	None	None	Both symbionts and environmental factors contribute to shape the microbiota in a pest insect, Sogatella furcifera	10.3389/fmicb.2023.1336345	FRONTIERS IN MICROBIOLOGY	2024	None	China, Thailand,  Myanmar,  Cambodia,  Vietnam, Laos	China, Thailand, Myanmar, Cambodia, Vietnam, and Laos
RISB0012	Amplicon	Coleoptera	Scarabaeidae	Dynastinae	Oryctes rhinoceros	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	None	The gut bacteria microbiome (as revealed by Amplicon data) suggests a digestive symbiosis role, containing microbes with potential for plant cell wall degradation.	plant biomass digestion	SRX21132356-SRX21132417	None	Coconut rhinoceros beetle digestive symbiosis with potential plant cell wall degrading microbes	10.1038/s41522-024-00505-9	NPJ BIOFILMS AND MICROBIOMES	2024	None	China	Taiwan
RISB0013	Metagenome	Coleoptera	Scarabaeidae	Dynastinae	Oryctes rhinoceros	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	None	The gut bacteria (as revealed by Metagenome data) suggests a digestive symbiosis role, containing microbes with potential for plant cell wall degradation.	plant biomass digestion	SRX21132418	None	Coconut rhinoceros beetle digestive symbiosis with potential plant cell wall degrading microbes	10.1038/s41522-024-00505-9	NPJ BIOFILMS AND MICROBIOMES	2024	None	China	Taiwan
RISB0014	Symbiont	Diptera	Culicidae	Culicinae	Aedes aegypti	Pseudomonadota	Rhodospirillales	Asaia	Genus	Asaia	Asaia	Bacteria	Extracellular	None	Asaia is a promising candidate for arboviral control and may play a role in inhibiting Chikungunya virus (CHIKV) within the Aedes aegypti host.	antiviral activity	PRJNA1043583	None	Comparative analysis of midgut bacterial communities in Chikungunya virus-infected and non-infected Aedes aegypti Thai laboratory strain mosquitoes	10.1038/s41598-024-61027-0	SCIENTIFIC REPORTS	2024	None	Thailand	Nonthaburi Province
RISB0015	Symbiont	Diptera	Culicidae	Culicinae	Aedes aegypti	Bacteroidota	Flavobacteriales	Chryseobacterium	Genus	Chryseobacterium	Chryseobacterium	Bacteria	Extracellular	None	Chryseobacterium is part of the mosquito midgut community, but its specific function related to CHIKV infection in Aedes aegypti requires investigation.	None	PRJNA1043583	None	Comparative analysis of midgut bacterial communities in Chikungunya virus-infected and non-infected Aedes aegypti Thai laboratory strain mosquitoes	10.1038/s41598-024-61027-0	SCIENTIFIC REPORTS	2024	None	Thailand	Nonthaburi Province
RISB0016	Symbiont	Diptera	Culicidae	Culicinae	Aedes aegypti	Pseudomonadota	Rhodospirillales	Gluconobacter	Genus	Gluconobacter	Gluconobacter	Bacteria	Extracellular	None	Gluconobacter might increase the susceptibility of Aedes aegypti to Chikungunya virus (CHIKV) infection.	virus interaction	PRJNA1043583	None	Comparative analysis of midgut bacterial communities in Chikungunya virus-infected and non-infected Aedes aegypti Thai laboratory strain mosquitoes	10.1038/s41598-024-61027-0	SCIENTIFIC REPORTS	2024	None	Thailand	Nonthaburi Province
