taxonomy	host	function	symbiont_phylum	symbiont_order	symbiont_genus	host_order	host_family	description	evidence	genome_id	journal	evidence_level
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Proteus; s__Proteus vulgaris	Leptinotarsa decemlineata	natural enemy resistance	Pseudomonadota	Enterobacterales	Proteus	Coleoptera	Chrysomelidae	Proteus vulgaris Ld01 produces toxic hydrogen cyanide (HCN) and a mandelonitrile-producing cyanoglucoside, amygdalin, which shield the insect from predation.	10.1038/s41467-024-54439-z	GISB0429	Nature Communications	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Proteus; s__Proteus vulgaris	Leptinotarsa decemlineata	toxin production	Pseudomonadota	Enterobacterales	Proteus	Coleoptera	Chrysomelidae	Proteus vulgaris Ld01 produces toxic hydrogen cyanide (HCN) and a mandelonitrile-producing cyanoglucoside, amygdalin, which shield the insect from predation.	10.1038/s41467-024-54439-z	GISB0429	Nature Communications	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Serratia; s__Serratia harmoniae	Harmonia axyridis	natural enemy resistance	Pseudomonadota	Enterobacterales	Serratia	Coleoptera	Coccinellidae	the harlequin ladybird (Harmonia axyridis) safely harbors Serratia harmoniae, a highly pathogenic bacterium that causes severe mortality in other ladybird species, which confers an intraguild predation advantage to the harlequin ladybird	10.1073/pnas.2417873121		The Proceedings of the National Academy of Sciences	3
d__Bacteria; p__Bacillota; c__*; o__Lactobacillales; f__*; g__Enterococcus; s__*	Spodoptera frugiperda	pathogen resistance	Bacillota	Lactobacillales	Enterococcus	Lepidoptera	Noctuidae	Enterococcus spp. may play a protective role against insect pathogens.	10.1007/s10340-024-01759-0		JOURNAL OF PEST SCIENCE	3
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Klebsiella; s__*	Spodoptera frugiperda	fertility	Pseudomonadota	Enterobacterales	Klebsiella	Lepidoptera	Noctuidae	Klebsiella spp. may have positive effects on insect fecundity.	10.1007/s10340-024-01759-0		JOURNAL OF PEST SCIENCE	3
d__Bacteria; p__Bacillota; c__*; o__Bacillales; f__*; g__Exiguobacterium; s__*	Phormia regina	semiochemical biosynthesis	Bacillota	Bacillales	Exiguobacterium	Diptera	Calliphoridae	Exiguobacterium sp. produces semiochemicals that prompt oviposition by the stable fly (Stomoxys calcitrans), potentially serving as a fly lure.	10.1093/jisesa/ieae040		JOURNAL OF INSECT SCIENCE	3
d__Bacteria; p__Bacillota; c__*; o__Bacillales; f__*; g__Exiguobacterium; s__*	Phormia regina	fertility	Bacillota	Bacillales	Exiguobacterium	Diptera	Calliphoridae	Exiguobacterium sp. produces semiochemicals that prompt oviposition by the stable fly (Stomoxys calcitrans), potentially serving as a fly lure.	10.1093/jisesa/ieae040		JOURNAL OF INSECT SCIENCE	3
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Morganella; s__Morganella morganii	Phormia regina	semiochemical biosynthesis	Pseudomonadota	Enterobacterales	Morganella	Diptera	Calliphoridae	Morganella morganii produces semiochemicals that deter oviposition by the stable fly (Stomoxys calcitrans), potentially helping the stable fly avoid competition.	10.1093/jisesa/ieae040		JOURNAL OF INSECT SCIENCE	3
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Morganella; s__Morganella morganii	Phormia regina	fertility	Pseudomonadota	Enterobacterales	Morganella	Diptera	Calliphoridae	Morganella morganii produces semiochemicals that deter oviposition by the stable fly (Stomoxys calcitrans), potentially helping the stable fly avoid competition.	10.1093/jisesa/ieae040		JOURNAL OF INSECT SCIENCE	3
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Serratia; s__Serratia marcescens	Phormia regina	semiochemical biosynthesis	Pseudomonadota	Enterobacterales	Serratia	Diptera	Calliphoridae	Serratia marcescens produces semiochemicals that prompt oviposition by the stable fly (Stomoxys calcitrans), potentially serving as a fly lure.	10.1093/jisesa/ieae040		JOURNAL OF INSECT SCIENCE	3
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Serratia; s__Serratia marcescens	Phormia regina	fertility	Pseudomonadota	Enterobacterales	Serratia	Diptera	Calliphoridae	Serratia marcescens produces semiochemicals that prompt oviposition by the stable fly (Stomoxys calcitrans), potentially serving as a fly lure.	10.1093/jisesa/ieae040		JOURNAL OF INSECT SCIENCE	3
d__Bacteria; p__Bacteroidota; c__*; o__Cytophagales; f__*; g__Candidatus Cardinium; s__*	Sogatella furcifera	other	Bacteroidota	Cytophagales	Candidatus Cardinium	Hemiptera	Delphacidae	Candidatus Cardinium infection significantly decreases the diversity of the host's microbial community.	10.3389/fmicb.2023.1336345		FRONTIERS IN MICROBIOLOGY	2
d__Bacteria; p__Pseudomonadota; c__*; o__Rickettsiales; f__*; g__Wolbachia; s__*	Sogatella furcifera	other	Pseudomonadota	Rickettsiales	Wolbachia	Hemiptera	Delphacidae	Wolbachia infection significantly decreases the diversity of the host's microbial community.	10.3389/fmicb.2023.1336345		FRONTIERS IN MICROBIOLOGY	2
d__Bacteria; p__Pseudomonadota; c__*; o__Rhodospirillales; f__*; g__Asaia; s__*	Aedes aegypti	antiviral activity	Pseudomonadota	Rhodospirillales	Asaia	Diptera	Culicidae	Asaia is a promising candidate for arboviral control and may play a role in inhibiting Chikungunya virus (CHIKV) within the Aedes aegypti host.	10.1038/s41598-024-61027-0		SCIENTIFIC REPORTS	2
d__Bacteria; p__Pseudomonadota; c__*; o__Rhodospirillales; f__*; g__Gluconobacter; s__*	Aedes aegypti	virus interaction	Pseudomonadota	Rhodospirillales	Gluconobacter	Diptera	Culicidae	Gluconobacter might increase the susceptibility of Aedes aegypti to Chikungunya virus (CHIKV) infection.	10.1038/s41598-024-61027-0		SCIENTIFIC REPORTS	2
d__Bacteria; p__Pseudomonadota; c__*; o__Moraxellales; f__*; g__Acinetobacter; s__Acinetobacter calcoaceticus	Scirpophaga incertulas	pesticide metabolization	Pseudomonadota	Moraxellales	Acinetobacter	Lepidoptera	Crambidae	Acinetobacter calcoaceticus strain NRYSBAC-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	10.1016/j.aspen.2024.102229		JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2
d__Bacteria; p__Bacillota; c__*; o__Bacillales; f__*; g__Bacillus; s__*	Scirpophaga incertulas	pesticide metabolization	Bacillota	Bacillales	Bacillus	Lepidoptera	Crambidae	Bacillus sp. strain NRYSBBS-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	10.1016/j.aspen.2024.102229		JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2
d__Bacteria; p__Bacillota; c__*; o__Bacillales; f__*; g__Bacillus; s__Bacillus cereus	Scirpophaga incertulas	pesticide metabolization	Bacillota	Bacillales	Bacillus	Lepidoptera	Crambidae	Bacillus cereus strain NRYSBBC-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	10.1016/j.aspen.2024.102229		JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2
d__Bacteria; p__Bacillota; c__*; o__Bacillales; f__*; g__Bacillus; s__*	Scirpophaga incertulas	pesticide metabolization	Bacillota	Bacillales	Bacillus	Lepidoptera	Crambidae	Bacillus sp. strain NRYSBBP-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	10.1016/j.aspen.2024.102229		JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2
d__Bacteria; p__Bacillota; c__*; o__Bacillales; f__*; g__Bacillus; s__*	Chilo suppressalis	pesticide metabolization	Bacillota	Bacillales	Bacillus	Lepidoptera	Crambidae	Bacillus sp. strain NRSSBBS-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	10.1016/j.aspen.2024.102229		JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2
d__Bacteria; p__Bacillota; c__*; o__Bacillales; f__*; g__Bacillus; s__Bacillus proteolyticus	Chilo suppressalis	pesticide metabolization	Bacillota	Bacillales	Bacillus	Lepidoptera	Crambidae	Bacillus proteolyticus strain NRSSBBP-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	10.1016/j.aspen.2024.102229		JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2
d__Bacteria; p__Bacillota; c__*; o__Bacillales; f__*; g__Bacillus; s__*	Chilo suppressalis	pesticide metabolization	Bacillota	Bacillales	Bacillus	Lepidoptera	Crambidae	Bacillus stratosphericus strain NRSSBBS-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	10.1016/j.aspen.2024.102229		JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2
d__Bacteria; p__Bacillota; c__*; o__Bacillales; f__*; g__Bacillus; s__Bacillus subtilis	Chilo suppressalis	pesticide metabolization	Bacillota	Bacillales	Bacillus	Lepidoptera	Crambidae	Bacillus subtilis strain NRSSBSUB-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	10.1016/j.aspen.2024.102229		JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2
d__Bacteria; p__Bacillota; c__*; o__Bacillales; f__*; g__Bacillus; s__Bacillus albus	Chilo suppressalis	pesticide metabolization	Bacillota	Bacillales	Bacillus	Lepidoptera	Crambidae	Bacillus albus strain NRSSBBA-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	10.1016/j.aspen.2024.102229		JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2
d__Bacteria; p__Bacillota; c__*; o__Lactobacillales; f__*; g__Enterococcus; s__Enterococcus faecalis	Sesamia inferens	pesticide metabolization	Bacillota	Lactobacillales	Enterococcus	Lepidoptera	Noctuidae	Enterococcus faecalis strain NRPSBEF-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	10.1016/j.aspen.2024.102229		JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Klebsiella; s__*	Scirpophaga incertulas	pesticide metabolization	Pseudomonadota	Enterobacterales	Klebsiella	Lepidoptera	Crambidae	Klebsiella sp. strain NRYSBKS-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	10.1016/j.aspen.2024.102229		JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2
d__Bacteria; p__Bacillota; c__*; o__Peptostreptococcales; f__*; g__Paraclostridium; s__*	Sesamia inferens	pesticide metabolization	Bacillota	Peptostreptococcales	Paraclostridium	Lepidoptera	Noctuidae	Paraclostridium sp. strain NRPSBPS-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	10.1016/j.aspen.2024.102229		JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2
d__Bacteria; p__Bacillota; c__*; o__Bacillales; f__*; g__Staphylococcus; s__*	Sesamia inferens	pesticide metabolization	Bacillota	Bacillales	Staphylococcus	Lepidoptera	Noctuidae	Staphylococcus sp. strain NRPSBSS-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	10.1016/j.aspen.2024.102229		JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2
