Function	Final_Score_Sum	Total_RA_Pct	Mean_Confidence	Mean_Host_Match	Mean_Evidence_Weight	Taxa_Count	Dominant_Contributor
pesticide metabolization	262.9	14.098	0.72	1.01	1.04	150	Lactococcus lactis (28.3% contribution)
other	248.7	15.767	0.7	0.8	1.07	173	Lactococcus lactis (25.3% contribution)
plant defense modulation	239.1	10.214	0.6	1.31	1.03	161	Acinetobacter (sp.) (32.5% contribution)
reproductive manipulation	171.9	7.708	0.61	1.23	1.15	42	Acinetobacter (sp.) (43.0% contribution)
plastic degration	167.3	9.198	0.61	0.87	1.06	143	Acinetobacter (sp.) (36.0% contribution)
antimicrobial activity	164.8	9.868	0.61	0.84	1.03	198	Acinetobacter (sp.) (33.6% contribution)
cellulose hydrolysis	160.5	9.84	0.61	0.84	1.01	151	Acinetobacter (sp.) (33.7% contribution)
immune priming	159.3	10.299	0.6	0.85	1.0	104	Acinetobacter (sp.) (32.2% contribution)
pathogen resistance	158.7	10.491	0.61	0.8	1.0	183	Acinetobacter (sp.) (31.6% contribution)
semiochemical biosynthesis	148.4	8.686	0.63	0.8	1.14	107	Acinetobacter (sp.) (38.2% contribution)
developmental modulation	144.7	9.755	0.6	0.8	1.04	105	Acinetobacter (sp.) (34.0% contribution)
fertility	132.9	9.012	0.6	0.83	1.01	90	Acinetobacter (sp.) (36.8% contribution)
detoxification enzymes	127.6	8.492	0.61	0.8	1.04	125	Acinetobacter (sp.) (39.0% contribution)
carbohydrate metabolism	123.6	7.209	0.83	0.81	1.02	97	Lactococcus lactis (55.3% contribution)
growth regulation	120.1	7.156	0.83	0.81	1.02	94	Lactococcus lactis (55.7% contribution)
lipase	108.0	6.218	0.86	0.85	1.03	54	Lactococcus lactis (64.1% contribution)
nutrient provision	102.2	6.029	0.87	0.8	1.1	40	Lactococcus lactis (66.1% contribution)
carbohydrates enzymes	93.1	5.754	0.89	0.8	1.0	54	Lactococcus lactis (69.3% contribution)
probiotic	76.0	4.983	0.92	0.8	1.0	43	Lactococcus lactis (80.0% contribution)
amino acid provision	58.8	2.283	0.63	0.87	1.12	94	Enterobacter (sp.) (8.5% contribution)
xylan hydrolysis	51.5	1.73	0.6	1.1	1.08	64	Enterobacter (sp.) (11.2% contribution)
pectin hydrolysis	51.3	1.727	0.6	1.1	1.08	63	Enterobacter (sp.) (11.2% contribution)
B vitamin supplementation	46.6	2.189	0.61	0.83	1.12	59	Wolbachia (sp.) (43.7% contribution)
nitrogen fixation	44.5	1.886	0.63	0.8	1.13	72	Enterobacter (sp.) (10.3% contribution)
chemical biosynthesis	42.3	2.014	0.63	0.8	1.0	95	Enterobacter (sp.) (9.6% contribution)
temparature adaptation	38.5	2.025	0.61	0.8	1.08	38	Wolbachia (sp.) (47.2% contribution)
lifespan modulation	33.5	1.943	0.6	0.8	1.0	29	Wolbachia (sp.) (49.2% contribution)
plant biomass digestion	25.9	0.989	0.6	1.05	1.0	44	Enterobacter (sp.) (19.6% contribution)
cytoplasmic incompatibility	23.7	1.124	0.6	1.1	1.0	4	Wolbachia (sp.) (85.1% contribution)
male killing	23.7	1.124	0.6	1.1	1.0	5	Wolbachia (sp.) (85.1% contribution)
protein degradation	23.6	1.347	0.6	0.85	1.0	31	Wolbachia (sp.) (71.0% contribution)
digestive enzymes	23.4	1.402	0.6	0.81	1.0	40	Wolbachia (sp.) (68.2% contribution)
stress resistance	22.3	0.818	0.6	1.1	1.0	26	Enterobacter (sp.) (23.6% contribution)
natural enemy resistance	21.6	1.2	0.6	0.8	1.15	19	Wolbachia (sp.) (79.7% contribution)
virus interaction	20.8	1.149	0.61	0.8	1.15	6	Wolbachia (sp.) (83.2% contribution)
antiviral activity	19.9	1.128	0.6	0.8	1.15	7	Wolbachia (sp.) (84.8% contribution)
toxin production	19.8	0.862	0.6	0.8	1.14	35	Klebsiella (sp.) (18.4% contribution)
learning and memory capacity	17.3	1.128	0.6	0.8	1.0	6	Wolbachia (sp.) (84.8% contribution)
feminization	17.2	1.124	0.6	0.8	1.0	4	Wolbachia (sp.) (85.1% contribution)
parthenogenesis	17.2	1.124	0.6	0.8	1.0	4	Wolbachia (sp.) (85.1% contribution)
plant secondary metabolites	5.8	0.219	0.6	1.03	1.0	23	Enterococcus (sp.) (18.1% contribution)
fungal farming	1.3	0.059	0.61	0.81	1.01	9	Pseudomonas (sp.) (44.5% contribution)
chitin degradation	1.3	0.029	0.94	1.06	1.0	4	Serratia marcescens (86.0% contribution)
pathogen interaction	1.2	0.058	0.6	0.8	1.03	6	Pseudomonas (sp.) (45.5% contribution)
feeding habit alteration	1.2	0.057	0.6	0.8	1.0	9	Pseudomonas (sp.) (46.2% contribution)
vitamin supplementation	0.1	0.006	0.6	0.8	1.0	1	Pantoea (sp.) (100.0% contribution)
